日期,SHIBOR_ON,SHIBOR_1W,SHIBOR_1M,QVIX,涨停家数,连板均值,封单资金均值
2024-01-02,1.586,1.786,2.398,16.32,0,0.0,0
2024-01-03,1.604,1.805,2.354,16.32,0,0.0,0
2024-01-04,1.589,1.783,2.329,16.6,0,0.0,0
2024-01-05,1.588,1.77,2.32,17.12,0,0.0,0
2024-01-08,1.585,1.772,2.312,16.89,0,0.0,0
2024-01-09,1.582,1.79,2.304,18.46,0,0.0,0
2024-01-10,1.588,1.797,2.298,19.0,0,0.0,0
2024-01-11,1.627,1.799,2.296,18.27,0,0.0,0
2024-01-12,1.678,1.846,2.297,18.25,0,0.0,0
2024-01-15,1.677,1.862,2.297,17.26,0,0.0,0
2024-01-16,1.745,1.934,2.3,16.59,0,0.0,0
2024-01-17,1.832,1.943,2.3,19.18,0,0.0,0
2024-01-18,1.734,1.819,2.3,18.94,0,0.0,0
2024-01-19,1.724,1.831,2.3,17.8,0,0.0,0
2024-01-22,1.76,1.844,2.3,21.61,0,0.0,0
2024-01-23,1.76,1.807,2.3,19.67,0,0.0,0
2024-01-24,1.808,1.84,2.3,18.26,0,0.0,0
2024-01-25,1.844,1.872,2.3,17.43875318,0,0.0,0
2024-01-26,1.82,1.899,2.301,16.97,0,0.0,0
2024-01-29,1.731,1.863,2.302,18.13,0,0.0,0
2024-01-30,1.618,1.959,2.3,19.5,0,0.0,0
2024-01-31,1.708,1.829,2.282,21.71,0,0.0,0
2024-02-01,1.676,1.809,2.262,21.91,0,0.0,0
2024-02-02,1.719,1.846,2.252,23.72,0,0.0,0
2024-02-05,1.68,1.946,2.227,24.99,0,0.0,0
2024-02-06,1.727,1.966,2.224,23.5,0,0.0,0
2024-02-07,1.716,1.947,2.219,20.97,0,0.0,0
2024-02-08,1.697,1.791,2.213,20.77,0,0.0,0
2024-02-09,1.853,1.857,2.21,20.77,0,0.0,0
2024-02-12,1.853,1.857,2.21,20.77,0,0.0,0
2024-02-13,1.853,1.857,2.21,20.77,0,0.0,0
2024-02-14,1.853,1.857,2.21,20.77,0,0.0,0
2024-02-15,1.853,1.857,2.21,20.77,0,0.0,0
2024-02-16,1.853,1.857,2.21,20.77,0,0.0,0
2024-02-19,1.607,1.785,2.186,20.93,0,0.0,0
2024-02-20,1.63,1.787,2.166,19.08,0,0.0,0
2024-02-21,1.698,1.819,2.145,19.45,0,0.0,0
2024-02-22,1.635,1.815,2.132,20.55,0,0.0,0
2024-02-23,1.747,1.816,2.122,21.11,0,0.0,0
2024-02-26,1.779,1.883,2.116,20.45,0,0.0,0
2024-02-27,1.819,1.904,2.107,20.2,0,0.0,0
2024-02-28,1.7056,1.8178,2.1033,20.67,0,0.0,0
2024-02-29,1.639,1.775,2.099,19.44217792,0,0.0,0
2024-03-01,1.694,1.806,2.088,18.97,0,0.0,0
2024-03-04,1.711,1.811,2.086,19.16,0,0.0,0
2024-03-05,1.719,1.855,2.086,18.17,0,0.0,0
2024-03-06,1.713,1.822,2.088,17.22,0,0.0,0
2024-03-07,1.713,1.827,2.088,16.7,0,0.0,0
2024-03-08,1.72,1.848,2.087,16.26,0,0.0,0
2024-03-11,1.731,1.853,2.086,16.42,0,0.0,0
2024-03-12,1.721,1.853,2.091,16.4,0,0.0,0
2024-03-13,1.735,1.882,2.095,16.34,0,0.0,0
2024-03-14,1.746,1.88,2.1,16.07,0,0.0,0
2024-03-15,1.766,1.89,2.101,15.88,0,0.0,0
2024-03-18,1.746,1.854,2.106,15.94,0,0.0,0
2024-03-19,1.754,1.87,2.117,15.72,0,0.0,0
2024-03-20,1.765,1.844,2.123,15.85,0,0.0,0
2024-03-21,1.771,1.834,2.126,15.74,0,0.0,0
2024-03-22,1.772,1.845,2.13,16.52,0,0.0,0
2024-03-25,1.774,1.898,2.135,16.3,0,0.0,0
2024-03-26,1.77,1.957,2.137,15.84,0,0.0,0
2024-03-27,1.77,1.972,2.141,16.32,0,0.0,0
2024-03-28,1.734,1.948,2.143,15.4851118,0,0.0,0
2024-03-29,1.718,1.967,2.14,15.03,0,0.0,0
2024-04-01,1.728,1.857,2.128,15.03,0,0.0,0
2024-04-02,1.704,1.833,2.11,14.74,0,0.0,0
2024-04-03,1.685,1.821,2.097,14.64,0,0.0,0
2024-04-04,1.685,1.821,2.097,14.64,0,0.0,0
2024-04-05,1.685,1.821,2.097,14.64,0,0.0,0
2024-04-08,1.711,1.815,2.062,15.02,0,0.0,0
2024-04-09,1.718,1.816,2.05,14.92,0,0.0,0
2024-04-10,1.722,1.817,2.049,14.81,0,0.0,0
2024-04-11,1.721,1.815,2.039,14.64,0,0.0,0
2024-04-12,1.717,1.82,2.025,14.94,0,0.0,0
2024-04-15,1.716,1.797,2.012,15.5,0,0.0,0
2024-04-16,1.715,1.805,2.005,16.14,0,0.0,0
2024-04-17,1.723,1.816,2.0,15.41,0,0.0,0
2024-04-18,1.776,1.836,1.996,16.8,0,0.0,0
2024-04-19,1.797,1.87,1.989,17.4,0,0.0,0
2024-04-22,1.78,1.831,1.972,15.56,0,0.0,0
2024-04-23,1.788,1.824,1.963,15.19,0,0.0,0
2024-04-24,1.784,1.855,1.959,14.92,0,0.0,0
2024-04-25,1.846,1.885,1.956,14.88,0,0.0,0
2024-04-26,1.879,1.912,1.952,14.95670132,0,0.0,0
2024-04-29,1.823,2.08,1.962,16.24,0,0.0,0
2024-04-30,1.921,2.109,1.961,15.02,0,0.0,0
2024-05-01,1.921,2.109,1.961,15.02,0,0.0,0
2024-05-02,1.921,2.109,1.961,15.02,0,0.0,0
2024-05-03,1.921,2.109,1.961,15.02,0,0.0,0
2024-05-06,1.777,1.874,1.958,16.01,0,0.0,0
2024-05-07,1.744,1.845,1.951,15.2,0,0.0,0
2024-05-08,1.837,1.867,1.945,14.96,0,0.0,0
2024-05-09,1.727,1.822,1.943,15.02,0,0.0,0
2024-05-10,1.733,1.836,1.94,14.89,0,0.0,0
2024-05-13,1.781,1.836,1.931,14.64,0,0.0,0
2024-05-14,1.769,1.837,1.927,14.79,0,0.0,0
2024-05-15,1.727,1.808,1.923,14.85,0,0.0,0
2024-05-16,1.724,1.801,1.911,14.35,0,0.0,0
2024-05-17,1.719,1.808,1.907,14.08,0,0.0,0
2024-05-20,1.719,1.803,1.905,14.74,0,0.0,0
2024-05-21,1.758,1.847,1.906,13.84,0,0.0,0
2024-05-22,1.779,1.838,1.908,13.84,0,0.0,0
2024-05-23,1.769,1.829,1.905,13.84,0,0.0,0
2024-05-24,1.766,1.818,1.905,13.84,0,0.0,0
2024-05-27,1.767,1.888,1.904,13.84,0,0.0,0
2024-05-28,1.81,1.885,1.905,13.84,0,0.0,0
2024-05-29,1.849,1.897,1.905,13.84,0,0.0,0
2024-05-30,1.746,1.903,1.906,13.84,0,0.0,0
2024-05-31,1.805,1.851,1.907,13.84,0,0.0,0
2024-06-03,1.723,1.811,1.905,13.92,0,0.0,0
2024-06-04,1.663,1.785,1.9,13.71,0,0.0,0
2024-06-05,1.664,1.776,1.899,13.79,0,0.0,0
2024-06-06,1.656,1.78,1.897,14.05,0,0.0,0
2024-06-07,1.719,1.751,1.898,14.11,0,0.0,0
2024-06-10,1.719,1.751,1.898,14.11,0,0.0,0
2024-06-11,1.679,1.802,1.9,14.86,0,0.0,0
2024-06-12,1.68,1.796,1.898,14.36,0,0.0,0
2024-06-13,1.723,1.817,1.9,13.93,0,0.0,0
2024-06-14,1.732,1.813,1.9,13.8,0,0.0,0
2024-06-17,1.783,1.862,1.898,13.89,0,0.0,0
2024-06-18,1.829,1.882,1.9,13.87,0,0.0,0
2024-06-19,1.853,1.861,1.9,14.01,0,0.0,0
2024-06-20,1.877,1.89,1.9,14.09,0,0.0,0
2024-06-21,1.96,1.939,1.9,13.56,0,0.0,0
2024-06-24,1.98,2.008,1.9,13.49,0,0.0,0
2024-06-25,1.964,2.014,1.9,14.21,0,0.0,0
2024-06-26,1.976,2.083,1.9,13.54,0,0.0,0
2024-06-27,1.879,2.028,1.9,13.3836467,0,0.0,0
2024-06-28,1.889,2.099,1.9,12.74754559,0,0.0,0
2024-07-01,1.749,1.802,1.899,12.8,0,0.0,0
2024-07-02,1.715,1.796,1.896,12.4,0,0.0,0
2024-07-03,1.688,1.8,1.895,12.1,0,0.0,0
2024-07-04,1.712,1.811,1.892,12.13,0,0.0,0
2024-07-05,1.764,1.807,1.888,12.93,0,0.0,0
2024-07-08,1.754,1.82,1.887,13.82,0,0.0,0
2024-07-09,1.679,1.804,1.886,13.33,0,0.0,0
2024-07-10,1.64,1.8,1.883,14.2,0,0.0,0
2024-07-11,1.67,1.803,1.879,13.0,0,0.0,0
2024-07-12,1.668,1.801,1.878,12.46,0,0.0,0
2024-07-15,1.78,1.821,1.879,12.39,0,0.0,0
2024-07-16,1.894,1.894,1.878,12.27,0,0.0,0
2024-07-17,1.913,1.885,1.878,12.6,0,0.0,0
2024-07-18,1.933,1.893,1.879,13.09,0,0.0,0
2024-07-19,1.855,1.855,1.877,13.41,0,0.0,0
2024-07-22,1.647,1.715,1.873,13.3,0,0.0,0
2024-07-23,1.736,1.751,1.867,12.95,0,0.0,0
