# 评分摘要
指标,值
模型,model01
沪深300平均收益率,1.3114%
预测股票平均收益率,2.3421%
超额收益,+1.0307%

# 我们预测的股票明细
股票代码,股票名称,收益率,排名,总数,百分位
601668,中国建筑,0.021912350597609535,94,300,68.67
601658,邮储银行,0.014056224899598417,124,300,58.67
601766,中国中车,0.030351437699680524,68,300,77.33
600023,浙能电力,0.03839122486288858,55,300,81.67
600919,江苏银行,0.0123927550047665,133,300,55.67

# 沪深300收益排名前30
排名,股票代码,股票名称,收益率
1,601868,中国能建,0.28813559322033916
2,002384,东山精密,0.2303433001107419
3,605117,德业股份,0.19587895508233477
4,002709,天赐材料,0.19020669291338577
5,300274,阳光电源,0.1791366421981278
6,300661,圣邦股份,0.16578125000000002
7,601669,中国电建,0.16415410385259624
8,601877,正泰电器,0.16017069701280218
9,688472,阿特斯,0.15690527838033266
10,300014,亿纬锂能,0.1505862646566164
11,688223,晶科能源,0.13749999999999996
12,600522,中天科技,0.13500189609404634
13,300750,宁德时代,0.1291136337575966
14,000938,紫光股份,0.1052409129332205
15,002460,赣锋锂业,0.09671875000000002
16,603019,中科曙光,0.0943712574850299
17,600989,宝丰能源,0.09272785011114643
18,000975,山金国际,0.08830389870043326
19,600886,国投电力,0.08453757225433527
20,601360,三六零,0.08427454387489137
21,002074,国轩高科,0.08040201005025127
22,000792,盐湖股份,0.08031016338964275
23,600438,通威股份,0.07378854625550654
24,603296,华勤技术,0.07034400948991706
25,002179,中航光电,0.06863871338311302
26,600188,兖矿能源,0.06830206830206823
27,002459,晶澳科技,0.0669975186104218
28,002475,立讯精密,0.06656580937972775
29,300759,康龙化成,0.0656716417910447
30,688009,中国通号,0.064957264957265
