model,topN,avg_weekly_return_%,avg_excess_%,cumulative_return_%,avg_actual_rank,total_stocks,hit_rate_top20%_%
model01,5,1.62,1.429,36.65,135.4,300,34.0
model01,10,1.351,1.161,29.96,137.3,300,29.5
model01,20,0.821,0.63,17.41,141.5,300,22.5
model01,30,0.525,0.335,10.85,145.2,300,19.8
model01,40,0.298,0.108,5.98,148.7,300,18.1
model01,50,0.276,0.085,5.51,148.4,300,18.2
model02,5,1.207,1.017,25.47,134.4,300,38.0
model02,10,1.203,1.013,26.06,135.2,300,40.5
model02,20,1.671,1.48,38.71,132.9,300,39.0
model02,30,1.378,1.188,30.96,136.4,300,37.8
model02,40,1.137,0.947,24.94,140.7,300,34.6
model02,50,0.932,0.741,19.96,143.7,300,33.2
model03,5,0.463,0.272,8.6,143.5,300,33.0
model03,10,0.478,0.287,9.52,150.3,300,29.5
model03,20,0.539,0.349,10.68,151.6,300,31.2
model03,30,0.348,0.158,6.7,154.3,300,29.5
model03,40,0.461,0.27,9.18,152.0,300,29.4
model03,50,0.397,0.206,7.88,152.4,300,28.8
model04,5,1.278,1.087,27.2,143.6,300,32.0
model04,10,0.938,0.747,19.76,146.3,300,33.5
model04,20,0.999,0.809,21.38,144.8,300,34.0
model04,30,0.856,0.665,18.02,146.9,300,32.2
model04,40,0.784,0.594,16.31,148.1,300,31.2
model04,50,0.638,0.448,13.03,150.1,300,30.2
model05,5,1.089,0.898,22.17,141.9,300,35.0
model05,10,1.416,1.226,31.06,136.9,300,38.0
model05,20,1.005,0.814,21.36,139.4,300,35.8
model05,30,0.809,0.618,16.82,142.8,300,33.3
model05,40,0.859,0.669,17.96,143.7,300,32.9
model05,50,0.807,0.616,16.76,143.4,300,32.3
model07,5,-0.013,-0.203,-1.31,156.4,300,25.0
model07,10,0.631,0.44,12.41,150.5,300,28.0
model07,20,1.052,0.862,22.51,140.4,300,31.8
model07,30,0.977,0.787,20.81,141.7,300,30.0
model07,40,0.875,0.684,18.43,142.9,300,29.1
model07,50,0.799,0.608,16.75,143.7,300,28.1
