stock_id,rank
601077,1
601728,2
300760,3
605499,4
603392,5
603369,6
601816,7
600377,8
601186,9
600919,10
601658,11
002304,12
603195,13
600015,14
601838,15
001391,16
600600,17
601766,18
600104,19
601899,20
601398,21
600941,22
600918,23
601818,24
600025,25
601939,26
601006,27
300498,28
601919,29
600900,30
601998,31
300896,32
600809,33
001965,34
300832,35
601668,36
603993,37
601916,38
600011,39
688169,40
601633,41
600161,42
600048,43
601698,44
600036,45
601868,46
601456,47
600023,48
601881,49
002422,50
